"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"151","Varun Beverages Limited","VBL","P&F | F.A","-2.73%","436.05","4,82,47,867"
"65","Bajaj Finserv Limited","BAJAJFINSV","P&F | F.A","-2.77%","1872.3","17,97,567"
"192","Rbl Bank Limited","RBLBANK","P&F | F.A","-2.78%","158.34","72,09,464"
"32","Jk Cement Limited","JKCEMENT","P&F | F.A","-2.83%","4389.35","1,34,968"
"68","Patanjali Foods Ltd","PATANJALI","P&F | F.A","-2.87%","1760.55","50,62,076"
"141","Laurus Labs Limited","LAURUSLABS","P&F | F.A","-2.91%","527.2","20,85,666"
"36","Avenue Supermarts","DMART","P&F | F.A","-2.94%","3403.95","7,99,598"
"166","Biocon Limited","BIOCON","P&F | F.A","-3.01%","302.45","46,97,901"
"184","Bank Of Baroda","BANKBARODA","P&F | F.A","-3.01%","197.07","1,42,93,523"
"179","Zomato Ltd","ZOMATO","P&F | F.A","-3.03%","222.1","11,54,67,128"
"177","Bharat Petroleum Corporation Limited","BPCL","P&F | F.A","-3.04%","237.3","1,40,66,882"
"9","Ultratech Cement Limited","ULTRACEMCO","P&F | F.A","-3.06%","10128.45","12,30,856"
"115","Tata Chemicals Limited","TATACHEM","P&F | F.A","-3.06%","777.35","8,35,197"
"209","Canara Bank","CANBK","P&F | F.A","-3.07%","80.9","3,64,24,489"
"19","Persistent Systems Limited","PERSISTENT","P&F | F.A","-3.09%","5303.9","16,07,716"
"90","Cyient Limited","CYIENT","P&F | F.A","-3.12%","1267.15","8,80,907"
"52","Tube Investments of India Ltd","TIINDIA","P&F | F.A","-3.21%","2462.15","5,72,222"
"218","Idea Cellular Limited","IDEA","P&F | F.A","-3.21%","7.55","48,26,92,128"
"143","Lic Housing Finance Limited","LICHSGFIN","P&F | F.A","-3.22%","496.9","23,17,148"
"3","Page Industries Limited","PAGEIND","P&F | F.A","-3.23%","40515.95","44,079"
"23","Eicher Motors Limited","EICHERMOT","P&F | F.A","-3.28%","4773.6","10,76,243"
"73","Sun Pharmaceuticals Industries Limited","SUNPHARMA","P&F | F.A","-3.29%","1593.25","35,49,979"
"146","Berger Paints (i) Limited","BERGEPAINT","P&F | F.A","-3.31%","488.55","7,00,093"
"47","Cummins India Limited","CUMMINSIND","P&F | F.A","-3.32%","2717.95","8,26,862"
"74","Hcl Technologies Limited","HCLTECH","P&F | F.A","-3.32%","1575.05","49,10,121"
"185","Indraprastha Gas Limited","IGL","P&F | F.A","-3.32%","189.48","27,40,916"
"123","Indian Railway Catering & Tourism Corporation Ltd","IRCTC","P&F | F.A","-3.37%","670.95","25,21,717"
"199","L&T Finance Ltd","LTF","P&F | F.A","-3.41%","134.73","36,81,827"
"60","Muthoot Finance Limited","MUTHOOTFIN","P&F | F.A","-3.43%","2132.8","8,44,753"
"8","Maruti Suzuki India Limited","MARUTI","P&F | F.A","-3.51%","11945.85","6,05,149"
"183","Manappuram Finance Limited","MANAPPURAM","P&F | F.A","-3.51%","200.96","3,48,21,415"
"201","Motherson Sumi Systems Limited","MOTHERSON","P&F | F.A","-3.51%","118.59","3,97,40,695"
"217","Yes Bank Limited","YESBANK","P&F | F.A","-3.51%","16.75","13,33,81,737"
"39","Computer Age Management Services Ltd","CAMS","P&F | F.A","-3.52%","3143.1","5,86,964"
"35","Tata Consultancy Services Limited","TCS","P&F | F.A","-3.58%","3483.25","70,85,018"
"4","Shree Cements Limited","SHREECEM","P&F | F.A","-3.61%","27284","71,987"
"111","Piramal Enterprises Limited","PEL","P&F | F.A","-3.63%","872.4","5,13,512"
"134","Marico Limited","MARICO","P&F | F.A","-3.64%","600.6","26,80,280"
"158","Power Finance Corporation Limited","PFC","P&F | F.A","-3.65%","364.3","2,36,90,515"
"86","Astral Poly Technik Limited","ASTRAL","P&F | F.A","-3.66%","1337.25","7,20,390"
"124","Syngene International Limited","SYNGENE","P&F | F.A","-3.68%","652.4","4,83,184"
"107","Max Healthcare Institute Ltd","MAXHEALTH","P&F | F.A","-3.74%","978.1","34,84,870"
"91","Torrent Power Limited","TORNTPOWER","P&F | F.A","-3.79%","1262.95","23,61,453"
"88","United Spirits Ltd","UNITDSPR","P&F | F.A","-3.82%","1284.45","9,00,840"
"212","Nbcc (india) Limited","NBCC","P&F | F.A","-3.82%","72.86","1,38,37,258"
"57","Nestle India Limited","NESTLEIND","P&F | F.A","-3.89%","2189.65","18,43,566"
"29","Britannia Industries Limited","BRITANNIA","P&F | F.A","-3.92%","4595.45","6,76,501"
"13","Oracle Financial Services Software Limited","OFSS","P&F | F.A","-3.94%","7763.9","2,40,082"
"99","Central Depository Services Ltd","CDSL","P&F | F.A","-3.97%","1107.9","50,75,016"
"12","Bajaj Auto Limited","BAJAJ-AUTO","P&F | F.A","-4%","7902.9","5,80,155"
"156","Apollo Tyres Limited","APOLLOTYRE","P&F | F.A","-4.01%","374.3","14,71,211"
"172","Mahindra & Mahindra Financial Services Limited","M&MFIN","P&F | F.A","-4.01%","270.6","12,23,567"
"138","Adani Total Gas Ltd","ATGL","P&F | F.A","-4.06%","557.15","9,00,373"
"21","Abb India Limited","ABB","P&F | F.A","-4.07%","4935.4","7,84,607"
"214","Nmdc Limited","NMDC","P&F | F.A","-4.16%","62.48","2,91,87,533"
"131","Tata Motors Limited","TATAMOTORS","P&F | F.A","-4.3%","620.65","2,04,77,619"
"168","Hindustan Petroleum Corporation Limited","HINDPETRO","P&F | F.A","-4.32%","293.75","65,17,549"
"72","Infosys Limited","INFY","P&F | F.A","-4.34%","1687.7","1,21,82,167"
"25","LTI Mindtree Ltd","LTIM","P&F | F.A","-4.36%","4665.95","5,62,521"
"95","KPIT Technologies Ltd","KPITTECH","P&F | F.A","-4.36%","1197.4","9,79,584"
