"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"143","Narayana Hrudayalaya Ltd.","NH","P&F | F.A","-0.82%","1566.2","9,23,681"
"239","Vedant Fashions Ltd","MANYAVAR","P&F | F.A","-0.82%","832.95","1,85,874"
"313","Sona BLW Precision Forgings Ltd","SONACOMS","P&F | F.A","-0.82%","517.6","10,35,927"
"142","Jb Chemicals & Pharmaceuticals Limited","JBCHEPHARM","P&F | F.A","-0.87%","1578.25","65,606"
"130","ICICI Lombard General Insurance Company Ltd","ICICIGI","P&F | F.A","-0.9%","1686.95","6,17,116"
"227","R R Kabel Ltd","RRKABEL","P&F | F.A","-0.9%","908.9","2,85,358"
"27","Apollo Hospitals Enterprise Limited","APOLLOHOSP","P&F | F.A","-0.92%","6216.1","2,99,433"
"377","Indus Towers Ltd (Bharti Infratel)","INDUSTOWER","P&F | F.A","-0.92%","327.4","37,98,696"
"294","Motilal Oswal Financial Services Limited","MOTILALOFS","P&F | F.A","-0.93%","605.45","14,74,681"
"388","Petronet Lng Limited","PETRONET","P&F | F.A","-0.95%","285.9","14,92,128"
"462","Steel Authority Of India Limited","SAIL","P&F | F.A","-0.95%","110.91","2,18,34,195"
"212","Emcure Pharmaceuticals Ltd","EMCURE","P&F | F.A","-0.96%","970.6","44,513"
"108","Angel One Ltd","ANGELONE","P&F | F.A","-0.98%","2098","8,88,336"
"144","The Phoenix Mills Limited","PHOENIXLTD","P&F | F.A","-0.98%","1560.15","5,15,001"
"297","Chambal Fertilizers & Chemicals Limited","CHAMBLFERT","P&F | F.A","-0.99%","571.2","20,53,973"
"92","Dr. Lal Path Labs Ltd.","LALPATHLAB","P&F | F.A","-1%","2493.25","77,380"
"343","RHI Magnesita India Ltd","RHIM","P&F | F.A","-1.01%","417.2","2,16,859"
"127","Dalmia Bharat Limited","DALBHARAT","P&F | F.A","-1.02%","1696.35","1,80,503"
"424","Ncc Limited","NCC","P&F | F.A","-1.02%","184.74","37,87,519"
"236","Adani Green Energy Ltd","ADANIGREEN","P&F | F.A","-1.03%","837.2","60,78,435"
"58","Navin Fluorine International Limited","NAVINFLUOR","P&F | F.A","-1.04%","4077.6","76,960"
"159","Tata Communications Limited","TATACOMM","P&F | F.A","-1.04%","1383.85","1,60,240"
"23","Info Edge (india) Limited","NAUKRI","P&F | F.A","-1.05%","6833.85","1,84,318"
"39","Siemens Limited","SIEMENS","P&F | F.A","-1.05%","5106.1","5,87,581"
"338","Birlasoft Ltd","BSOFT","P&F | F.A","-1.05%","434.45","7,88,701"
"225","Jubilant Pharmova Ltd","JUBLPHARMA","P&F | F.A","-1.07%","910.1","1,83,335"
"231","Kajaria Ceramics Limited","KAJARIACER","P&F | F.A","-1.07%","876.55","1,18,878"
"487","Irb Infrastructure Developers Limited","IRB","P&F | F.A","-1.07%","44.51","1,37,96,608"
"140","Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","P&F | F.A","-1.09%","1600.2","1,29,307"
"177","Bata India Limited","BATAINDIA","P&F | F.A","-1.09%","1233.1","61,540"
"295","Jubilant Foodworks Limited","JUBLFOOD","P&F | F.A","-1.09%","602.8","24,49,005"
"276","Container Corporation Of India Limited","CONCOR","P&F | F.A","-1.1%","656.65","9,55,503"
"397","Campus Activewear Ltd","CAMPUS","P&F | F.A","-1.1%","264.25","4,73,526"
"73","Pi Industries Limited","PIIND","P&F | F.A","-1.12%","3219.1","14,16,296"
"87","Ratnamani Metals & Tubes Limited","RATNAMANI","P&F | F.A","-1.12%","2601.6","28,051"
"133","C.E. Info Systems Ltd","MAPMYINDIA","P&F | F.A","-1.12%","1645.55","59,226"
"346","Aarti Industries Limited","AARTIIND","P&F | F.A","-1.12%","406.3","7,27,563"
"123","Patanjali Foods Ltd","PATANJALI","P&F | F.A","-1.14%","1749.65","5,70,416"
"350","Power Finance Corporation Limited","PFC","P&F | F.A","-1.15%","401.1","83,63,854"
"378","Iifl Holdings Limited","IIFL","P&F | F.A","-1.15%","322.1","24,77,763"
"254","Zensar Technologies Limited","ZENSARTECH","P&F | F.A","-1.16%","742.85","8,30,205"
